id_carta,id_mazo,numero_copias,banquillo
27911,4,3,t
10701,4,4,t
27340,4,3,f
30991,4,3,f
27829,4,4,t
9668,4,4,f
14214,4,2,f
29018,4,3,t
5799,4,1,t
40335,4,1,t
30739,5,4,f
24133,5,2,t
17273,5,1,f
2655,5,1,t
25477,5,2,t
42562,5,2,t
17181,5,3,f
39235,5,3,f
22182,5,4,t
40841,5,2,f
12738,5,3,f
14047,5,2,t
39126,5,3,t
26916,5,4,t
44387,5,2,f
11581,5,3,f
28563,5,3,t
37190,5,2,t
29040,5,2,t
8154,5,1,f
27263,5,3,f
39270,5,3,f
3647,5,2,t
9653,5,3,t
29630,5,2,f
16466,5,2,t
18719,5,1,f
11612,5,4,t
13604,5,4,t
10683,5,1,f
42967,5,1,f
6129,5,2,t
3481,5,2,t
21187,5,4,f
41753,5,1,f
9590,5,3,f
43635,5,1,f
3275,5,2,t
34239,5,1,t
35641,5,4,f
30711,6,3,t
8257,6,4,f
42915,6,3,t
1768,6,4,t
41545,6,4,f
28117,6,3,t
7177,6,2,t
31703,6,4,f
44735,6,3,t
10716,6,3,t
13302,6,2,f
28362,6,2,f
1136,6,4,t
39092,6,3,t
44348,6,3,f
27465,6,1,t
25761,6,4,t
16781,6,3,t
37167,6,3,f
31197,6,4,f
37686,6,3,t
6909,6,1,t
11300,6,2,f
27170,6,3,f
2742,6,3,f
30823,6,3,f
8995,6,3,t
36221,6,1,t
3568,6,4,f
26015,6,4,t
31876,6,1,t
23531,6,1,t
20806,6,2,t
2146,6,2,f
2694,6,1,t
41203,6,4,f
21207,6,1,t
765,6,3,f
18311,6,2,t
7281,6,3,t
27524,7,3,f
45744,7,3,f
16993,7,1,t
25852,7,2,t
30631,7,2,f
35193,7,2,t
19468,7,1,t
24950,7,4,f
13757,7,4,t
30971,7,4,f
37454,7,1,t
39767,7,2,t
3683,7,1,t
40209,7,4,f
24418,7,4,f
21656,7,4,f
41041,7,3,t
27767,7,4,t
20800,7,2,f
9468,7,1,t
40450,7,2,t
6033,7,1,f
41153,7,4,t
12361,7,1,f
43097,7,4,t
2682,7,3,f
11825,7,1,t
7522,7,1,f
2424,7,4,f
8450,7,2,t
42306,7,3,t
1345,7,4,f
39958,7,1,f
20500,7,1,t
16706,7,4,f
41202,7,2,f
42437,7,2,f
11532,7,3,f
22708,7,2,t
17109,7,2,f
43593,8,3,t
18366,8,4,f
31040,8,3,f
14251,8,2,f
21038,8,1,f
29514,8,4,f
5855,8,4,t
27626,8,3,t
18311,8,4,f
5307,8,4,t
36574,8,1,t
24282,8,1,f
38873,8,2,f
2030,8,3,t
7685,8,1,t
16033,8,3,f
12535,8,4,f
21655,8,4,f
23270,8,1,t
28338,8,1,t
35139,8,1,t
22775,8,4,f
34137,8,4,t
22265,8,4,t
18791,8,4,t
37823,8,3,f
12248,8,1,t
41607,8,1,f
32231,8,3,f
13153,8,2,t
24104,8,4,t
30895,8,4,t
43682,8,3,t
35320,8,1,t
28919,8,1,t
2722,8,3,f
29056,8,2,t
41712,8,3,f
34564,8,4,f
15134,8,1,f
39927,9,1,f
5403,9,1,t
30646,9,2,t
265,9,4,f
45552,9,3,t
11876,9,3,t
25492,9,1,f
20332,9,4,f
35787,9,2,t
16219,9,4,f
15326,9,2,f
21508,9,3,t
23299,9,2,f
11880,9,2,t
41250,9,2,t
39934,9,4,f
5820,9,2,f
29261,9,4,f
3161,9,2,t
12866,9,1,t
13296,9,2,t
7579,9,3,f
44218,9,4,f
3108,9,3,t
30405,9,2,t
16935,9,1,f
21208,9,2,f
42683,9,3,f
20075,9,3,t
9327,9,4,f
12379,9,3,t
19860,9,2,f
27091,9,1,f
33138,9,3,f
30001,9,3,t
28209,9,3,f
33841,9,2,t
26858,9,1,f
19254,9,2,t
20414,9,3,f
15028,10,4,f
26305,10,2,f
43292,10,4,t
21978,10,3,t
25033,10,4,t
6430,10,2,t
20538,10,3,t
20254,10,2,t
9685,10,4,f
37327,10,1,t
3077,10,3,f
14164,10,3,f
33076,10,3,f
37302,10,4,t
1160,10,1,f
5967,10,4,t
42610,10,2,t
45104,10,1,t
4046,10,2,t
38443,10,3,f
23477,10,3,t
9438,10,4,f
15336,10,1,t
17466,10,3,t
41908,10,3,f
15595,10,3,f
29100,10,2,t
14581,10,3,f
44224,10,2,t
28357,10,2,f
16094,10,2,f
4382,10,3,t
43358,10,4,f
17456,10,4,f
10172,10,4,t
36952,10,1,f
19159,10,4,t
14702,10,2,f
13524,10,2,t
22257,10,3,t
13574,11,2,f
18996,11,2,f
14508,11,3,t
28967,11,2,t
16175,11,4,t
11448,11,3,f
34699,11,3,f
36463,11,2,f
6183,11,3,t
39751,11,3,t
10353,11,1,f
18646,11,3,f
34064,11,3,t
10966,11,3,t
35151,11,1,t
22984,11,1,f
44309,11,4,t
35802,11,4,t
39603,11,4,f
35418,11,3,f
7236,11,3,t
30572,11,4,t
12276,11,2,t
45064,11,4,f
2793,11,1,f
20645,11,1,f
7105,11,2,t
26470,11,3,f
7662,11,1,t
21753,11,1,f
30816,11,3,f
24615,11,4,f
33888,11,4,t
28587,11,1,f
24201,11,3,t
22388,11,3,f
12638,11,4,f
33043,11,2,t
15407,11,4,t
19803,11,2,t
5236,12,2,t
41951,12,3,f
30928,12,1,f
33289,12,4,t
2394,12,1,t
34443,12,3,t
22668,12,4,t
11714,12,3,f
33476,12,1,f
2008,12,1,f
42992,12,3,f
41326,12,3,f
4535,12,3,t
20998,12,2,f
35366,12,1,f
21076,12,2,f
14832,12,1,f
25711,12,1,t
8155,12,3,t
6146,12,3,f
745,12,4,t
29745,12,1,f
36703,12,1,t
1040,12,2,t
25649,12,4,t
44345,12,4,f
27939,12,1,t
26702,12,1,f
20340,12,2,t
5988,12,4,f
13321,12,4,t
13096,12,2,t
25006,12,3,f
26065,12,4,f
17140,12,4,f
2639,12,3,t
17771,12,3,f
40323,12,2,t
11095,12,1,f
18361,12,1,t
29344,13,2,t
35102,13,1,t
21384,13,2,t
19552,13,2,f
9452,13,1,f
44178,13,2,t
13613,13,1,f
45902,13,1,f
37609,13,4,f
37767,13,4,t
14216,13,4,f
7178,13,4,t
29151,13,4,f
13515,13,4,f
45543,13,2,f
37786,13,1,f
36292,13,3,f
41955,13,2,t
44855,13,2,f
11736,13,3,f
19017,13,3,f
19255,13,3,t
36054,13,4,t
20352,13,2,t
21969,13,4,f
21534,13,1,t
45645,13,3,t
27482,13,1,f
23967,13,3,t
21403,13,2,f
33307,13,4,f
7094,13,3,t
18991,13,2,t
14072,13,2,f
2627,13,3,f
4644,13,2,t
5132,13,2,t
31094,13,4,f
21949,13,3,f
29376,13,3,f
20652,14,3,f
43679,14,4,f
45414,14,3,f
20524,14,4,t
20874,14,3,f
41564,14,3,f
22504,14,1,t
31978,14,3,t
13946,14,1,t
42010,14,1,t
9560,14,2,f
13916,14,4,f
43434,14,4,t
23254,14,4,t
31203,14,4,f
12686,14,2,f
21719,14,1,t
15839,14,2,f
33441,14,2,t
22491,14,3,f
13180,14,4,f
7461,14,2,f
36372,14,2,t
30858,14,2,t
28634,14,3,t
9102,14,2,t
42180,14,1,f
19596,14,4,f
14574,14,2,t
29473,14,2,t
32699,14,3,f
109,14,4,f
15850,14,3,f
29037,14,3,f
2151,14,2,t
29561,14,4,f
41622,14,3,f
13648,14,1,f
16677,14,2,t
6786,14,1,t
16779,15,1,t
17513,15,3,t
12609,15,1,f
21341,15,1,f
39259,15,3,t
36328,15,4,f
43999,15,3,f
45054,15,1,f
31206,15,3,f
32303,15,2,f
20737,15,4,t
44899,15,1,t
2106,15,4,t
30522,15,3,f
6675,15,3,f
39918,15,4,f
24636,15,1,t
24658,15,3,f
42604,15,3,t
10894,15,2,t
749,15,3,f
27762,15,1,t
3553,15,3,t
23258,15,2,t
6227,15,3,t
7996,15,2,t
27181,15,2,f
18148,15,3,t
27610,15,4,f
11455,15,4,f
31492,15,2,f
15255,15,1,f
22449,15,4,t
37513,15,1,t
10004,15,1,f
25520,15,1,f
5403,15,2,f
29032,15,1,f
20483,15,1,f
10188,15,4,f
39254,16,2,t
31787,16,1,t
33900,16,2,f
34578,16,1,t
19470,16,3,t
21421,16,4,f
7114,16,4,t
1404,16,1,t
44559,16,4,t
26508,16,3,t
13551,16,3,t
32777,16,4,f
36026,16,4,f
40082,16,1,f
33732,16,3,t
33127,16,4,t
6093,16,2,f
41582,16,2,t
22368,16,2,t
9602,16,2,t
30267,16,3,t
6128,16,2,t
13438,16,2,f
39079,16,4,f
28092,16,1,f
24933,16,3,f
6123,16,3,t
39402,16,3,t
12038,16,1,f
34253,16,1,t
674,16,2,t
15924,16,4,t
12727,16,2,t
22236,16,3,f
31330,16,1,f
44093,16,4,t
22235,16,4,t
14431,16,3,f
43605,16,4,t
43725,16,3,t
4600,17,4,f
1906,17,4,t
5859,17,1,t
28185,17,2,f
43239,17,4,f
44349,17,2,f
35078,17,4,t
25123,17,1,t
26888,17,3,f
36523,17,4,f
34855,17,3,t
2825,17,1,t
2546,17,1,f
10095,17,1,f
9083,17,4,t
8606,17,3,f
23077,17,1,f
3486,17,1,t
39254,17,1,t
38537,17,3,f
25006,17,2,t
23346,17,2,f
4546,17,2,t
2503,17,4,t
9957,17,2,f
7294,17,1,t
40702,17,3,t
18549,17,4,t
28265,17,1,f
16810,17,2,t
36964,17,2,f
20299,17,3,t
29233,17,4,t
39965,17,1,f
3639,17,4,t
10519,17,1,t
31353,17,1,f
16450,17,2,f
34652,17,2,t
37420,17,2,t
10079,18,1,f
4311,18,2,t
5202,18,4,t
20257,18,2,f
15363,18,3,t
6335,18,4,f
27691,18,3,f
4296,18,2,t
28922,18,3,t
45874,18,1,f
11815,18,3,t
12340,18,2,f
4530,18,4,t
32885,18,1,t
26449,18,1,t
34021,18,3,t
38174,18,3,t
14748,18,4,f
28433,18,2,t
8725,18,4,f
27729,18,1,t
3199,18,1,f
17234,18,3,t
1735,18,3,t
4891,18,1,t
33114,18,2,f
28024,18,1,t
22230,18,4,t
32184,18,4,t
4584,18,1,f
35345,18,1,f
29189,18,1,f
45606,18,4,f
41766,18,1,f
6000,18,3,t
21778,18,2,f
31161,18,1,f
42424,18,4,t
22703,18,4,f
7692,18,2,f
39524,19,1,t
30225,19,1,t
4494,19,4,f
13608,19,4,t
9606,19,3,t
2385,19,4,t
32385,19,1,f
16962,19,1,f
19387,19,1,f
21458,19,3,f
26886,19,3,f
26285,19,4,t
14568,19,1,f
22570,19,3,f
41917,19,2,t
36085,19,2,f
32162,19,1,f
17163,19,4,t
3632,19,3,f
20333,19,2,t
856,19,4,f
26427,19,3,t
21827,19,3,t
19853,19,4,t
2524,19,3,t
5920,19,4,t
5745,19,3,t
5467,19,4,t
15352,19,1,t
12579,19,2,t
21799,19,2,t
39405,19,1,f
15948,19,1,f
15010,19,2,t
8781,19,3,t
5798,19,2,f
14752,19,3,f
37204,19,3,f
42279,19,3,t
8837,19,1,t
38647,20,1,f
3351,20,1,t
18944,20,3,t
1550,20,2,t
7231,20,1,t
15398,20,2,t
2054,20,4,t
36665,20,2,f
15108,20,2,t
20274,20,2,t
11573,20,3,f
25115,20,2,f
3561,20,4,f
6656,20,4,t
27420,20,3,f
40053,20,2,t
37043,20,3,f
20532,20,3,t
8256,20,2,f
36521,20,3,f
36824,20,1,t
33038,20,4,f
8115,20,2,t
5038,20,3,f
24547,20,2,f
31993,20,4,t
38941,20,2,f
32472,20,4,t
24212,20,3,t
4237,20,4,f
40995,20,3,t
1330,20,4,t
5599,20,2,t
3635,20,4,f
16808,20,4,f
39971,20,1,t
24941,20,4,t
36075,20,4,f
350,20,4,f
4059,20,1,t
37702,21,2,f
25798,21,1,f
10210,21,3,f
8686,21,1,f
7945,21,2,f
2760,21,2,f
18618,21,2,t
19559,21,4,f
4912,21,4,f
27508,21,2,t
14989,21,4,t
41833,21,3,t
2204,21,3,t
37289,21,1,t
36757,21,1,t
6098,21,1,t
44335,21,4,f
15210,21,2,t
2786,21,2,t
30473,21,2,f
22045,21,2,f
315,21,4,t
15695,21,4,f
22851,21,4,f
11382,21,3,f
38301,21,3,f
21744,21,3,t
15564,21,3,f
15159,21,4,t
10097,21,3,f
38582,21,2,t
3977,21,2,f
2848,21,2,t
4739,21,1,f
2010,21,3,f
9438,21,2,t
32550,21,2,t
962,21,3,t
41172,21,4,t
21444,21,2,t
24972,22,3,t
35473,22,2,f
24492,22,3,t
27990,22,1,f
21144,22,1,f
38533,22,4,f
31111,22,3,f
45282,22,4,t
9694,22,3,t
17836,22,1,t
45293,22,4,t
14980,22,1,f
13731,22,4,t
2367,22,1,f
43381,22,4,t
27595,22,3,f
13161,22,3,f
31895,22,3,t
10963,22,3,f
22930,22,3,f
11633,22,1,f
14755,22,3,t
20864,22,2,t
37764,22,3,t
37062,22,4,t
6287,22,3,f
4465,22,4,t
39959,22,4,t
4607,22,2,t
8733,22,2,f
18346,22,3,t
21861,22,1,t
34874,22,1,f
5953,22,2,t
5368,22,4,t
3557,22,1,t
17894,22,3,f
44266,22,2,t
19163,22,2,t
4927,22,2,t
39255,23,4,f
1282,23,4,t
15702,23,2,t
2515,23,2,t
38904,23,4,f
42283,23,3,t
3383,23,4,t
35161,23,2,t
13301,23,3,f
24446,23,1,t
7062,23,2,t
26072,23,1,t
33981,23,2,t
27963,23,4,f
41444,23,1,f
25604,23,4,t
6765,23,1,f
11877,23,2,f
18846,23,2,f
43511,23,4,f
46014,23,4,f
40488,23,3,t
33904,23,4,t
7746,23,1,f
31988,23,2,f
30707,23,4,t
37867,23,3,t
27911,23,2,t
11782,23,1,t
22397,23,1,t
30718,23,3,t
43738,23,3,f
15512,23,4,f
2626,23,1,f
31727,23,3,f
36922,23,4,t
29867,23,1,t
5302,23,2,f
35923,23,2,f
28287,23,1,f
22898,24,3,f
1831,24,1,f
32974,24,4,f
33193,24,1,t
39594,24,1,f
20377,24,1,f
13414,24,3,t
38468,24,1,t
16173,24,2,t
4028,24,2,t
32633,24,4,f
31985,24,1,f
28498,24,1,t
24068,24,1,t
42675,24,1,t
30206,24,1,f
16073,24,3,t
9335,24,3,t
18925,24,3,t
3986,24,4,f
40667,24,4,f
5338,24,1,t
45605,24,4,f
14020,24,4,t
220,24,3,f
15439,24,3,t
11005,24,3,f
27081,24,4,t
41639,24,1,t
1182,24,4,f
39962,24,3,t
24525,24,1,f
205,24,3,t
24478,24,2,f
36349,24,1,f
609,24,3,t
9410,24,3,t
24823,24,2,f
16249,24,4,f
36676,24,1,f
11470,25,4,f
10768,25,3,t
10212,25,1,t
26980,25,4,t
3010,25,1,t
26132,25,1,f
29009,25,1,t
9142,25,3,t
11784,25,3,t
1843,25,3,f
43280,25,3,t
21251,25,4,t
45679,25,1,t
33366,25,4,t
28399,25,2,t
30899,25,4,t
14636,25,3,f
25617,25,1,t
31462,25,1,t
5894,25,2,t
4252,25,3,f
20654,25,1,t
12164,25,2,f
28097,25,1,t
10797,25,2,t
23333,25,3,f
35885,25,1,t
33081,25,4,f
25041,25,1,f
31217,25,2,f
5522,25,3,t
43516,25,2,t
10868,25,1,t
27543,25,3,t
45342,25,3,f
29600,25,4,t
24654,25,3,t
19622,25,2,f
44166,25,3,f
42130,25,1,t
21576,26,1,t
12606,26,3,t
1349,26,4,t
6427,26,1,t
14160,26,1,t
3537,26,4,f
12255,26,3,t
24570,26,1,t
18102,26,2,t
15123,26,4,f
19485,26,1,t
31917,26,1,f
37754,26,1,t
9966,26,1,t
27035,26,3,t
26941,26,2,f
40209,26,3,t
7119,26,1,t
41781,26,4,f
17223,26,2,t
23507,26,4,f
36194,26,1,f
30412,26,3,t
42735,26,2,t
14094,26,2,f
40197,26,4,t
1488,26,1,t
23613,26,1,t
4764,26,2,t
39847,26,4,f
7884,26,4,t
40474,26,4,t
41954,26,1,f
727,26,3,f
39613,26,2,t
5500,26,2,f
37844,26,4,f
44558,26,4,f
31442,26,1,f
40669,26,1,t
17475,27,4,t
5562,27,2,f
31780,27,4,f
38062,27,3,t
2189,27,3,f
24956,27,1,t
39944,27,2,t
34040,27,4,t
36960,27,1,t
21007,27,3,f
25453,27,2,f
14126,27,2,f
18313,27,3,f
42238,27,1,t
27126,27,4,f
37926,27,3,f
8135,27,2,t
15803,27,4,t
7775,27,2,t
28053,27,2,f
28606,27,4,f
3918,27,4,f
35330,27,3,t
38126,27,2,t
2450,27,3,t
34213,27,1,f
45848,27,2,t
39066,27,4,f
9281,27,1,t
31085,27,2,t
9391,27,4,f
475,27,3,f
40142,27,4,f
25271,27,1,f
34449,27,3,f
11641,27,2,f
10951,27,2,t
10095,27,2,f
28723,27,3,f
15098,27,3,f
25885,28,2,t
33912,28,2,t
42880,28,2,t
27019,28,3,f
13230,28,2,t
37537,28,1,f
28615,28,2,t
18066,28,3,t
1147,28,2,t
7014,28,2,f
40742,28,4,f
12105,28,4,f
9325,28,2,t
7571,28,4,t
26807,28,1,t
29107,28,2,f
29496,28,2,f
24517,28,1,f
15201,28,2,f
45831,28,3,f
9767,28,3,f
4563,28,2,t
29200,28,4,f
37276,28,4,t
40246,28,2,f
6039,28,1,f
42357,28,4,t
11291,28,1,t
32021,28,2,f
22009,28,1,f
40658,28,3,t
21457,28,3,f
38055,28,3,f
18013,28,1,f
22864,28,2,f
20412,28,1,t
10110,28,2,t
15419,28,3,f
12051,28,2,f
2311,28,3,f
21221,29,3,f
26853,29,3,f
16703,29,4,t
10061,29,3,t
28249,29,4,t
18920,29,1,f
20192,29,1,t
5349,29,2,t
29314,29,3,f
678,29,2,f
13650,29,3,t
42054,29,3,t
5015,29,2,f
45546,29,1,t
27420,29,1,t
15077,29,4,f
29038,29,2,f
859,29,4,f
1950,29,3,f
31222,29,3,t
3346,29,2,f
26112,29,2,f
17180,29,1,f
34784,29,4,t
9312,29,3,f
41192,29,1,f
4876,29,3,t
17962,29,3,t
32622,29,4,t
17825,29,1,f
14698,29,4,t
19840,29,2,t
41724,29,2,t
14255,29,4,t
12661,29,2,t
27126,29,4,t
14905,29,2,t
7400,29,3,f
14503,29,4,t
45572,29,3,f
30035,30,3,t
37860,30,3,t
22572,30,3,f
31971,30,3,t
17710,30,3,t
8893,30,2,t
4475,30,1,f
23460,30,2,f
45127,30,3,f
36618,30,1,t
11749,30,2,t
10348,30,3,t
40508,30,3,t
6120,30,3,t
39711,30,2,f
12460,30,2,t
29035,30,2,f
15736,30,3,t
42906,30,3,t
1678,30,2,f
40897,30,1,t
41429,30,3,t
11965,30,1,f
9856,30,4,t
5330,30,4,f
31661,30,4,t
9391,30,1,f
29948,30,3,t
36615,30,1,f
4068,30,1,f
12370,30,2,t
41543,30,3,t
31762,30,3,t
15511,30,1,t
23501,30,1,f
13856,30,3,t
20991,30,2,f
22072,30,2,f
32061,30,3,f
767,30,3,t
20453,31,3,f
3021,31,2,t
22241,31,3,t
21840,31,3,f
36008,31,1,f
30061,31,1,f
35258,31,1,f
39732,31,1,f
1172,31,3,t
27964,31,1,f
33758,31,2,t
24439,31,1,t
34590,31,3,t
33244,31,4,f
13297,31,2,t
20511,31,3,f
3548,31,2,f
37027,31,4,f
7953,31,3,t
28453,31,2,f
22570,31,4,f
25506,31,2,f
7981,31,3,t
12420,31,4,f
22833,31,1,t
394,31,4,t
1238,31,4,f
7020,31,4,f
44159,31,1,t
3092,31,3,t
3266,31,3,t
8519,31,2,t
13955,31,3,t
30220,31,2,f
11801,31,3,t
11773,31,3,t
4757,31,2,t
30258,31,4,t
37149,31,3,f
39708,31,2,t
23706,32,2,f
19620,32,2,f
42978,32,2,f
4835,32,3,f
1281,32,2,f
45421,32,1,t
17115,32,3,f
6660,32,1,f
17381,32,3,t
45953,32,3,t
20668,32,3,t
1372,32,2,f
1221,32,1,t
21899,32,1,f
34699,32,4,f
13898,32,1,t
18591,32,1,f
25061,32,3,f
24309,32,1,t
40782,32,2,t
13319,32,4,f
28057,32,3,t
28470,32,1,f
31967,32,3,t
32505,32,2,t
40926,32,3,f
30210,32,3,t
30468,32,4,f
5523,32,4,t
8397,32,4,t
2333,32,1,t
35321,32,1,t
15309,32,1,f
43496,32,2,f
35160,32,2,t
4630,32,2,t
32544,32,3,t
14364,32,2,t
13053,32,4,t
11180,32,2,f
9116,33,4,f
28335,33,3,f
25896,33,2,t
3786,33,1,t
41665,33,3,t
2111,33,2,f
45902,33,4,f
19741,33,4,f
16290,33,3,f
44513,33,1,f
20966,33,2,f
2046,33,1,t
37125,33,3,f
32598,33,3,f
20967,33,3,t
8339,33,2,t
6947,33,4,f
19583,33,3,t
42700,33,1,f
23039,33,3,f
8000,33,3,f
7440,33,4,f
480,33,3,t
22809,33,3,f
17058,33,1,t
16233,33,4,t
28460,33,4,f
17239,33,3,t
33989,33,2,t
4910,33,3,t
45584,33,3,f
16210,33,3,t
11290,33,1,t
4992,33,2,t
24386,33,3,t
19532,33,3,t
42831,33,2,t
20111,33,1,t
33345,33,3,t
15725,33,3,f
22409,34,1,t
39964,34,4,t
25009,34,2,t
36617,34,1,t
10345,34,1,f
1754,34,2,f
15871,34,4,f
43035,34,1,t
18952,34,4,t
17109,34,2,t
25045,34,4,f
13949,34,1,t
37326,34,3,t
9890,34,1,t
45603,34,1,t
23662,34,1,t
6247,34,3,t
32265,34,1,t
5357,34,2,f
1466,34,1,f
5708,34,3,f
41556,34,4,f
23444,34,3,f
12186,34,1,t
29390,34,4,t
7308,34,2,t
3238,34,2,t
4696,34,2,t
16246,34,4,t
13283,34,1,f
44782,34,2,t
18412,34,2,t
13719,34,1,f
8023,34,3,f
43482,34,2,t
18961,34,2,f
22194,34,4,f
29797,34,4,t
8358,34,3,t
9074,34,3,f
11583,35,2,f
18603,35,2,t
20624,35,4,f
7846,35,4,t
8163,35,2,t
39669,35,2,t
25176,35,3,t
32766,35,4,f
10676,35,4,f
33139,35,2,t
37358,35,3,t
7861,35,3,t
45317,35,2,f
37884,35,4,f
19719,35,4,t
36191,35,1,t
31758,35,4,t
13025,35,1,t
39243,35,1,t
28403,35,4,f
44933,35,3,f
7592,35,3,f
41615,35,1,t
31714,35,4,f
31763,35,2,f
37891,35,1,t
11502,35,3,f
40441,35,1,t
20225,35,2,f
18232,35,1,f
44758,35,1,t
43334,35,3,t
22327,35,1,t
14151,35,4,f
26015,35,1,f
256,35,4,f
42188,35,1,t
6799,35,1,t
14803,35,2,t
22050,35,3,t
28481,36,1,f
31122,36,4,t
25412,36,3,f
17609,36,1,f
8256,36,4,t
34898,36,3,f
44343,36,4,t
23755,36,1,f
34589,36,1,f
14757,36,3,f
44362,36,1,t
5992,36,2,f
10436,36,2,t
17524,36,1,f
31770,36,3,t
42114,36,3,t
34041,36,1,f
849,36,1,t
10643,36,1,t
6153,36,4,f
1313,36,3,t
4741,36,4,t
13942,36,3,t
28552,36,4,f
19968,36,1,t
32168,36,4,t
2747,36,1,t
32734,36,1,f
32748,36,4,t
38230,36,1,t
43462,36,2,f
22051,36,3,t
42643,36,2,f
4503,36,2,f
25980,36,3,f
39002,36,1,f
7803,36,3,t
40077,36,4,f
9385,36,3,t
7473,36,4,t
36485,37,2,f
36761,37,3,t
20020,37,1,t
23813,37,4,t
11976,37,2,t
24427,37,1,f
1577,37,3,t
23114,37,3,t
10031,37,1,t
17965,37,3,f
3483,37,2,f
955,37,3,t
32826,37,3,f
19625,37,2,t
762,37,1,f
6005,37,2,f
3798,37,2,t
17084,37,1,t
7497,37,1,t
21661,37,4,f
30038,37,1,f
920,37,1,t
37373,37,3,f
43109,37,2,t
20038,37,4,f
25770,37,3,f
45817,37,2,t
14314,37,3,f
11145,37,3,f
1420,37,4,f
21266,37,1,t
12514,37,2,f
3469,37,2,t
12979,37,3,f
44774,37,3,t
5151,37,3,f
11777,37,2,t
3355,37,1,f
1734,37,4,f
38583,37,4,f
26971,38,2,t
35034,38,4,t
1482,38,2,t
33880,38,1,t
6200,38,1,f
20797,38,1,f
8157,38,1,f
33177,38,4,f
37451,38,1,f
15397,38,4,f
25214,38,4,t
19509,38,4,t
15197,38,3,t
43330,38,1,f
14886,38,2,t
5023,38,2,t
25399,38,1,f
18517,38,4,f
43441,38,3,f
22491,38,3,t
22761,38,2,t
17250,38,2,t
11270,38,3,f
16292,38,2,t
7395,38,1,t
27173,38,3,t
24180,38,2,t
39929,38,2,t
7573,38,3,f
22348,38,3,t
9062,38,2,f
33332,38,3,f
34229,38,3,t
43543,38,3,f
8318,38,3,f
39224,38,4,t
3854,38,2,f
12022,38,3,f
27959,38,4,f
34145,38,1,f
8318,39,2,f
7510,39,1,t
29304,39,2,f
675,39,4,t
13099,39,4,t
44570,39,3,t
22635,39,4,t
14549,39,3,f
15747,39,4,f
30831,39,3,t
14745,39,2,f
31086,39,4,t
4831,39,4,f
10373,39,3,f
36857,39,4,t
43807,39,3,f
23402,39,2,t
24008,39,2,f
32058,39,2,t
32793,39,2,t
33857,39,2,t
29758,39,2,f
44039,39,4,t
17659,39,4,f
21176,39,4,t
6374,39,3,t
11188,39,3,f
12168,39,4,t
4579,39,3,t
10602,39,2,f
14203,39,4,t
18425,39,3,f
23669,39,3,f
43353,39,3,f
